FULL SYSTEM TEST
---------------
Populating A and B...
Calculating reference values of C...
CWRITE: low word, high word, address 0 | 0 @300 @308
CWRITE: low word, high word, address 0 | 0 @310 @318
CWRITE: low word, high word, address 0 | 0 @320 @328
CWRITE: low word, high word, address 0 | 0 @330 @338
CWRITE: low word, high word, address 0 | 0 @340 @348
CWRITE: low word, high word, address 0 | 0 @350 @358
CWRITE: low word, high word, address 0 | 0 @360 @368
CWRITE: low word, high word, address 0 | 0 @370 @378
data word val, addr: cf6761fb08803c7 | 100
data word val, addr: 72df1f29546c5c28 | 200
data word val, addr: cb310d957524542a | 108
data word val, addr: f8319eadbd57fb44 | 208
data word val, addr: 345331902f437730 | 110
data word val, addr: c4af84abebf28c92 | 210
data word val, addr: a2a030737311e6da | 118
data word val, addr: 29d0878469c6743d | 218
data word val, addr: 5d076ee314d7ad49 | 120
data word val, addr: d6cdb34a478fe190 | 220
data word val, addr: 8eabfb8c244483fc | 128
data word val, addr: f622e102e1b5326d | 228
data word val, addr: 3bd9283b0c2c00a8 | 130
data word val, addr: 6144da812ab5609b | 230
data word val, addr: 65a6b27a8e236ded | 138
data word val, addr: 83d579c1d794d109 | 238
data word val, addr: 4329174a3af849f5 | 100
data word val, addr: 2c528525b015c294 | 200
data word val, addr: f93e028867c8b5c1 | 108
data word val, addr: c2990b37e93c4ca9 | 208
data word val, addr: 36eb8b9bd9de84cc | 110
data word val, addr: 4f501a66e6d2ae5b | 210
data word val, addr: c175fbc0bcc2d716 | 118
data word val, addr: 3f1f0dfa3a7913ef | 218
data word val, addr: 46fbf3521dd02ab | 120
data word val, addr: 2918129ab99f0ce7 | 220
data word val, addr: ddd121cc10005c42 | 128
data word val, addr: 717c39209291a185 | 228
data word val, addr: 8489ce5a16f4f51c | 130
data word val, addr: 2390d5461012cc08 | 230
data word val, addr: d1bad6013b43b759 | 138
data word val, addr: aa3a141c2b52db27 | 238
data word val, addr: 8f18f027c032cce4 | 100
data word val, addr: 96bcfe34b1164295 | 200
data word val, addr: b191d887d325e471 | 108
data word val, addr: 182ffcd88cca9ec8 | 208
data word val, addr: 1bacb5824c9fa89c | 110
data word val, addr: 7282611f6adb09dd | 210
data word val, addr: 87eb6b3d6b7044f0 | 118
